EVENT,10,80,169.254.13.198,SEND,1448,0,10.012993
EVENT,10,81,169.254.13.198,SEND,1448,0,10.013006
EVENT,10,82,169.254.13.198,SEND,1448,0,10.013019
EVENT,98,2,169.254.13.198,SEND,1460,0,10.012965
EVENT,96,3,169.254.13.198,SEND,1460,0,10.012980
EVENT,98,3,169.254.13.198,SEND,1460,0,10.013039
EVENT,62,2,169.254.13.198,SEND,1460,0,10.013252
EVENT,62,3,169.254.13.198,SEND,1460,0,10.013261
EVENT,10,83,169.254.13.198,SEND,1448,0,10.013031
EVENT,10,84,169.254.13.198,SEND,1448,0,10.013281
EVENT,62,4,169.254.13.198,SEND,1460,0,10.013280
EVENT,10,85,169.254.13.198,SEND,1448,0,10.013290
EVENT,62,5,169.254.13.198,SEND,1460,0,10.013295
EVENT,10,86,169.254.13.198,SEND,1448,0,10.013303
EVENT,62,6,169.254.13.198,SEND,1460,0,10.013307
EVENT,10,87,169.254.13.198,SEND,1448,0,10.013314
EVENT,62,7,169.254.13.198,SEND,1460,0,10.013317
EVENT,10,88,169.254.13.198,SEND,1448,0,10.013327
EVENT,62,8,169.254.13.198,SEND,1460,0,10.013344
EVENT,10,89,169.254.13.198,SEND,1448,0,10.013345
EVENT,62,9,169.254.13.198,SEND,1460,0,10.013351
EVENT,62,10,169.254.13.198,SEND,1460,0,10.013366
EVENT,56,5,172.27.242.163,SEND,1,0,10.012428
CONN,102,172.27.242.163,48366,->,169.254.13.198,80,6.013393
EVENT,102,0,169.254.13.198,SEND,1460,0,10.013393
EVENT,102,1,169.254.13.198,SEND,1460,0,10.013477
CONN,94,172.27.242.163,41939,->,169.254.13.198,3790,6.012681
EVENT,94,0,172.27.242.163,SEND,42,0,10.012681
EVENT,94,1,169.254.13.198,WAIT,41,0.000000,10.013502
CONN,104,169.254.13.198,50910,->,172.27.242.163,80,6.013523
EVENT,104,0,172.27.242.163,SEND,2828,0,10.013523
EVENT,104,1,172.27.242.163,SEND,2828,0,10.013528
EVENT,104,2,172.27.242.163,SEND,2828,0,10.013532
EVENT,10,90,169.254.13.198,SEND,1448,0,10.013355
